Team,Rat,Pwr,Off,Def,HFA,SoS,SSF,EW,EL
Norfolk St,7.07,47.72,88.87,23.93,2.66,37.45,37.53,0.71,0.29
Colorado St,7.07,50.22,89.2,26.1,2.75,44.36,44.11,0.84,0.16
Wisconsin,7.06,49.94,91.58,23.44,2.87,54.17,54.17,0.0,0.0
Toledo,7.05,48.78,90.04,23.82,2.65,41.94,42.21,1.17,0.83
Northern Iowa,7.05,52.89,95.27,22.69,2.81,48.84,48.42,1.56,0.44
St John's,7.04,52.44,87.53,29.98,2.71,48.67,48.67,0.0,0.0
Purdue,7.02,50.94,92.15,23.87,2.7,56.28,56.28,0.0,0.0
Oral Roberts,6.99,47.42,99.13,13.36,2.85,42.83,42.83,0.0,0.0
SF Austin,6.97,49.41,94.91,19.57,2.82,36.16,36.16,0.0,0.0
Davidson,6.96,49.74,86.62,28.2,2.68,45.77,45.77,0.0,0.0
Arkansas,6.94,51.77,94.84,22.0,2.99,54.77,54.77,0.0,0.0
UCF,6.92,50.15,92.16,23.06,2.78,52.51,52.51,0.0,0.0
WKU,6.92,47.66,91.26,21.47,2.85,40.9,41.31,1.05,0.95
DePaul,6.91,49.49,94.02,20.55,2.87,51.66,51.66,0.0,0.0
San Diego St,6.9,47.31,88.06,24.32,2.66,42.33,42.21,0.74,0.26
Wake Forest,6.9,51.2,88.16,28.11,2.85,53.93,53.93,0.0,0.0
Rutgers,6.9,49.61,91.98,22.71,2.92,52.49,52.49,0.0,0.0
Pittsburgh,6.88,48.41,88.21,25.28,2.72,51.63,51.63,0.0,0.0
Buffalo,6.87,46.17,89.11,22.13,2.58,36.97,37.49,1.11,0.89
Illinois St,6.84,47.83,92.57,20.34,2.78,42.23,42.47,1.1,0.9
Arizona St,6.83,50.2,94.98,20.29,2.93,54.01,54.01,0.0,0.0
SMU,6.83,48.62,90.07,23.62,2.78,53.36,53.36,0.0,0.0
Northwestern,6.82,49.0,93.7,20.38,2.8,53.45,53.45,0.0,0.0
Tulane,6.82,47.77,89.47,23.38,2.78,44.73,44.78,0.55,0.45
Butler,6.82,47.07,86.87,25.28,2.74,48.95,48.95,0.0,0.0
SE Louisiana,6.82,44.15,82.88,26.35,2.68,34.85,34.85,0.0,0.0
Quinnipiac,6.8,41.89,85.52,21.45,2.74,35.71,36.2,0.97,1.03
Tulsa,6.79,47.99,90.31,22.75,2.83,45.07,45.06,0.59,0.41
Troy,6.79,48.21,97.9,15.39,2.76,43.08,43.08,0.0,0.0
Kent,6.77,48.42,91.32,22.17,2.79,40.31,40.75,1.09,0.91
East Carolina,6.77,47.17,86.78,25.47,2.83,44.93,45.01,0.5,0.5
San Francisco,6.77,47.44,88.32,24.2,2.71,47.27,47.27,0.0,0.0
N Dakota St,6.77,46.66,89.43,22.3,2.81,41.63,41.63,0.0,0.0
Georgetown,6.76,48.47,87.5,26.04,2.71,50.06,50.06,0.0,0.0
PFW,6.76,45.79,89.78,21.09,2.55,37.54,37.54,0.0,0.0
Providence,6.76,46.21,83.23,28.06,2.75,49.77,49.77,0.0,0.0
Tennessee Tech,6.74,43.42,87.73,20.76,2.66,36.16,36.16,0.0,0.0
Cleveland St,6.74,47.96,90.7,22.34,2.7,36.33,36.33,0.0,0.0
Rice,6.74,48.95,89.39,24.63,2.71,45.47,45.52,0.56,0.44
Coastal Car,6.74,44.23,90.32,18.99,2.76,38.58,38.58,0.0,0.0
Duquesne,6.73,46.34,91.98,19.43,2.75,42.04,42.04,0.0,0.0
Hawaii,6.72,44.8,81.88,27.99,2.73,39.35,37.5,3.89,0.11
