Team,Record,Rat,Pwr,Off,Def,HFA,SoS,SSF,EW,EL
Northern Iowa,0.645,7.59,36.72,91.49,21.99,2.87,32.27,32.27,0.0,0.0
UAB,0.655,7.59,37.99,98.6,16.14,2.82,31.08,31.45,1.09,0.91
St Bonaventure,0.655,7.58,36.07,88.7,24.12,2.95,31.8,31.91,1.16,0.84
Belmont,0.677,7.57,35.13,96.85,15.03,2.93,32.13,32.13,0.0,0.0
Virginia Tech,0.448,7.56,37.8,93.01,21.54,3.06,36.81,37.44,0.48,1.52
Utah Valley,0.75,7.56,34.38,91.1,20.03,2.89,29.32,29.4,1.24,0.76
Notre Dame,0.414,7.55,37.77,92.39,22.14,2.89,37.84,37.62,1.2,0.8
NC State,0.379,7.55,39.23,92.94,23.04,2.79,37.57,37.66,1.02,0.98
Loyola-Chicago,0.655,7.55,35.61,91.58,20.78,2.91,31.61,31.7,1.16,0.84
Wichita St,0.586,7.54,36.05,92.7,20.11,2.87,33.54,33.26,1.4,0.6
Col Charleston,0.742,7.53,34.28,95.19,15.84,2.77,29.46,29.46,0.0,0.0
MTSU,0.69,7.53,32.71,90.82,18.64,2.98,32.18,31.96,1.23,0.77
Chattanooga,0.742,7.53,34.48,94.4,16.84,2.72,28.95,28.95,0.0,0.0
Syracuse,0.414,7.52,37.16,96.48,17.43,2.9,38.05,38.22,0.79,1.21
Arkansas St,0.71,7.52,34.95,93.38,18.33,2.79,29.91,29.91,0.0,0.0
UNC Wilmington,0.774,7.52,35.09,93.18,18.66,2.79,27.36,27.36,0.0,0.0
St Louis,0.586,7.5,35.66,92.77,19.65,2.99,32.68,33.01,0.89,1.11
California,0.448,7.48,35.88,93.85,18.78,3.01,36.89,37.31,0.55,1.45
Samford,0.71,7.48,34.97,97.83,13.89,2.87,28.89,29.06,0.53,0.47
Louisiana Tech,0.655,7.48,35.54,91.02,21.27,2.81,30.15,30.02,1.44,0.56
Furman,0.742,7.48,33.94,92.12,18.58,2.87,28.13,28.35,0.47,0.53
Jacksonville St,0.667,7.44,33.08,89.75,20.08,2.78,30.52,30.41,0.69,0.31
N Colorado,0.742,7.41,32.24,94.89,14.1,2.73,28.1,28.1,0.0,0.0
Lipscomb,0.719,7.41,34.43,92.18,19.01,2.76,27.08,27.08,0.0,0.0
DePaul,0.379,7.4,34.72,92.28,19.2,2.92,38.25,38.36,0.69,1.31
S Dakota St,0.645,7.39,34.64,93.62,17.78,2.87,29.46,29.46,0.0,0.0
Towson,0.677,7.39,32.96,86.72,22.99,2.81,29.33,29.33,0.0,0.0
Troy,0.667,7.38,34.01,89.31,21.46,2.87,28.9,28.9,0.0,0.0
Illinois St,0.581,7.38,33.24,91.33,18.67,2.96,32.19,32.19,0.0,0.0
CS Northridge,0.724,7.38,31.44,92.82,15.37,2.78,28.7,28.82,1.06,0.94
Davidson,0.552,7.37,34.69,90.66,20.78,2.87,32.01,32.27,0.92,1.08
Montana,0.71,7.37,31.32,91.91,16.16,2.92,29.16,29.16,0.0,0.0
Loy Marymount,0.533,7.36,33.1,88.92,20.94,2.89,33.52,33.52,0.0,0.0
James Madison,0.645,7.36,33.62,92.01,18.36,2.82,29.25,29.25,0.0,0.0
Kent,0.655,7.35,33.7,89.48,20.97,2.79,28.94,28.56,1.6,0.4
Seton Hall,0.241,7.35,37.51,89.77,24.5,2.97,39.32,39.93,0.35,1.65
Rhode Island,0.607,7.35,32.53,93.86,15.43,2.94,31.19,31.38,0.92,1.08
Tulane,0.586,7.34,34.67,92.92,18.51,2.92,30.04,30.39,0.95,1.05
UC Riverside,0.633,7.34,31.32,91.32,16.75,2.83,31.14,30.86,1.28,0.72
G Washington,0.633,7.34,32.58,90.72,18.62,2.87,29.86,29.96,0.49,0.51
Boston College,0.414,7.33,34.11,92.11,18.76,2.8,35.63,36.23,0.37,1.63
WKU,0.552,7.32,33.72,93.85,16.62,2.88,31.7,31.52,1.28,0.72
South Alabama,0.677,7.32,33.06,88.83,20.99,2.8,27.67,27.67,0.0,0.0
Temple,0.517,7.32,33.36,94.31,15.81,2.89,32.8,32.92,0.92,1.08
St Thomas MN,0.71,7.31,31.63,92.55,15.83,2.84,27.46,27.46,0.0,0.0
Princeton,0.643,7.31,31.83,89.98,18.61,2.72,29.66,29.44,0.75,0.25
Murray St,0.484,7.3,33.55,89.46,20.84,2.97,33.24,33.24,0.0,0.0
IL Chicago,0.581,7.29,30.99,91.96,15.78,2.77,31.71,31.71,0.0,0.0
UNC Greensboro,0.645,7.29,32.86,87.93,21.68,2.81,28.21,28.21,0.0,0.0
